GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC02,Total; Estimate; All households
HC01_MOE_VC02,Total; Margin of Error; All households
HC02_EST_VC02,Mean income (dollars); Estimate; All households
HC02_MOE_VC02,Mean income (dollars); Margin of Error; All households
HC01_EST_VC03,Total; Estimate; With earnings
HC01_MOE_VC03,Total; Margin of Error; With earnings
HC02_EST_VC03,Mean income (dollars); Estimate; With earnings
HC02_MOE_VC03,Mean income (dollars); Margin of Error; With earnings
HC01_EST_VC04,"Total; Estimate; With interest, dividends, or net rental income"
HC01_MOE_VC04,"Total; Margin of Error; With interest, dividends, or net rental income"
HC02_EST_VC04,"Mean income (dollars); Estimate; With interest, dividends, or net rental income"
HC02_MOE_VC04,"Mean income (dollars); Margin of Error; With interest, dividends, or net rental income"
HC01_EST_VC05,Total; Estimate; With Social Security income
HC01_MOE_VC05,Total; Margin of Error; With Social Security income
HC02_EST_VC05,Mean income (dollars); Estimate; With Social Security income
HC02_MOE_VC05,Mean income (dollars); Margin of Error; With Social Security income
HC01_EST_VC06,Total; Estimate; With Supplemental Security Income (SSI)
HC01_MOE_VC06,Total; Margin of Error; With Supplemental Security Income (SSI)
HC02_EST_VC06,Mean income (dollars); Estimate; With Supplemental Security Income (SSI)
HC02_MOE_VC06,Mean income (dollars); Margin of Error; With Supplemental Security Income (SSI)
HC01_EST_VC07,Total; Estimate; With cash public assistance income
HC01_MOE_VC07,Total; Margin of Error; With cash public assistance income
HC02_EST_VC07,Mean income (dollars); Estimate; With cash public assistance income
HC02_MOE_VC07,Mean income (dollars); Margin of Error; With cash public assistance income
HC01_EST_VC08,Total; Estimate; With retirement income
HC01_MOE_VC08,Total; Margin of Error; With retirement income
HC02_EST_VC08,Mean income (dollars); Estimate; With retirement income
HC02_MOE_VC08,Mean income (dollars); Margin of Error; With retirement income
HC01_EST_VC12,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families
HC01_MOE_VC12,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families
HC02_EST_VC12,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families
HC02_MOE_VC12,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families
HC01_EST_VC13,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - No workers
HC01_MOE_VC13,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - No workers
HC02_EST_VC13,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - No workers
HC02_MOE_VC13,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - No workers
HC01_EST_VC14,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 1 worker
HC01_MOE_VC14,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 1 worker
HC02_EST_VC14,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 1 worker
HC02_MOE_VC14,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 1 worker
HC01_EST_VC15,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, husband and wife worked"
HC01_MOE_VC15,"Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, husband and wife worked"
HC02_EST_VC15,"Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, husband and wife worked"
HC02_MOE_VC15,"Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, husband and wife worked"
HC01_EST_VC16,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, other"
HC01_MOE_VC16,"Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, other"
HC02_EST_VC16,"Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, other"
