schid																																																				
112038	4	5	1	1	1	1	330	1	67	70	NA	NA	35	NA	65	0	306	251	264	1	75	62	0	1	37	0	62	0	330	320	335	1	75	62	0	1	32	0	67	0	405	390	400	1	65	57	0	2	32	0	66	0
123056	3	8	1	1	1	1	620	1	35	99	NA	NA	NA	NA	99	0	612	582	615	1	22	98	0	0	2	0	98	0	582	564	576	1	36	96	0	0	1	0	99	0	593	567	591	1	30	98	0	0	1	0	99	0
128068	3	8	1	0	0	0	540	1	40	68	NA	NA	1	NA	99	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
128076	2	8	1	1	1	1	564	2	10	72	NA	NA	1	NA	98	0	610	575	606	2	18	93	0	1	1	0	98	0	640	615	639	2	22	99	0	0	11	0	89	0	621	600	504	2	23	90	0	0	3	0	97	0
128079	3	5	1	1	1	1	471	1	34	95	1	NA	5	1	93	0	496	466	493	1	34	93	0	0	6	1	93	0	530	496	527	1	41	85	1	1	5	0	93	0	507	473	504	1	32	72	0	0	5	0	95	0
130085	2	5	1	1	1	1	521	1	23	32	NA	NA	4	NA	96	0	475	460	478	1	21	27	0	1	3	0	96	0	525	507	522	1	20	24	0	0	2	0	98	0	534	518	530	1	20	19	0	0	2	0	97	1
159171	3	5	1	1	1	1	645	1	57	96	NA	0	25	0	75	0	626	594	625	2	54	94	0	0	27	0	73	0	605	599	609	1	43	95	0	0	25	0	75	0	614	595	611	1	44	94	0	0	24	1	75	0
161176	3	3	1	1	1	1	444	1	30	90	NA	1	1	NA	98	0	484	425	450	1	50	75	0	1	0	0	99	0	430	414	426	1	40	85	0	0	1	0	99	0	406	375	394	1	40	87	2	1	0	0	96	0
161183	3	3	1	1	1	1	662	1	52	97	NA	1	2	NA	97	0	654	620	658	1	60	90	0	1	3	0	97	0	556	537	550	1	66	97	0	1	4	0	95	0	551	523	549	1	55	69	0	0	5	1	94	0
162184	3	8	1	1	1	1	650	1	64	95	NA	NA	NA	NA	99	0	650	625	650	1	64	99	0	0	1	0	99	0	640	NA	630	1	64	99	1	0	1	0	98	0	624	600	624	1	62	98	0	0	1	0	99	0
164198	3	6	1	1	1	1	396	1	38	98	NA	NA	2	NA	98	0	389	371	382	2	41	89	0	0	2	0	98	0	398	387	394	1	32	93	0	1	1	0	98	0	418	380	416	1	35	90	0	0	2	0	98	0
165199	4	6	1	1	1	1	419	2	17	1	NA	NA	5	NA	95	0	447	402	440	2	22	2	0	1	4	0	92	1	417	406	407	2	21	2	0	1	4	0	94	1	412	396	411	2	20	0	0	2	5	0	93	0
166203	4	5	1	1	1	1	344	1	48	0	NA	NA	10	NA	90	0	356	292	312	1	62	0	0	0	8	0	91	1	293	284	293	1	61	0	0	0	8	0	92	0	323	290	300	1	70	0	0	0	9	0	90	1
168211	3	5	1	1	1	1	618	1	57	64	NA	NA	NA	NA	100	0	652	622	657	1	58	73	0	0	0	0	99	0	657	652	668	1	55	74	0	0	0	3	97	0	648	627	644	1	57	91	0	0	0	1	99	0
168214	3	8	1	1	1	1	591	1	22	88	NA	NA	NA	NA	100	0	589	558	589	1	31	77	0	0	0	0	99	0	610	596	610	1	27	90	0	0	0	0	99	0	643	630	642	1	33	78	0	0	0	0	99	0
169219	2	6	1	1	1	1	501	2	16	8	NA	1	21	NA	78	0	546	515	543	1	16	8	0	1	21	0	78	0	557	537	561	2	13	13	0	2	16	0	82	0	569	544	514	2	29	48	0	1	19	1	79	0
169229	2	4	1	1	1	1	1050	1	29	30	NA	2	34	NA	64	0	862	825	865	1	29	30	0	2	34	0	64	0	1034	999	999	1	20	45	0	2	38	0	60	0	947	935	947	2	34	65	0	1	38	1	60	0
