GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Population 16 years and over
HC01_MOE_VC01,Total; Margin of Error; Population 16 years and over
HC02_EST_VC01,In labor force; Estimate; Population 16 years and over
HC02_MOE_VC01,In labor force; Margin of Error; Population 16 years and over
HC03_EST_VC01,Employed; Estimate; Population 16 years and over
HC03_MOE_VC01,Employed; Margin of Error; Population 16 years and over
HC04_EST_VC01,Unemployment rate; Estimate; Population 16 years and over
HC04_MOE_VC01,Unemployment rate; Margin of Error; Population 16 years and over
HC01_EST_VC03,Total; Estimate; AGE - 16 to 19 years
HC01_MOE_VC03,Total; Margin of Error; AGE - 16 to 19 years
HC02_EST_VC03,In labor force; Estimate; AGE - 16 to 19 years
HC02_MOE_VC03,In labor force; Margin of Error; AGE - 16 to 19 years
HC03_EST_VC03,Employed; Estimate; AGE - 16 to 19 years
HC03_MOE_VC03,Employed; Margin of Error; AGE - 16 to 19 years
HC04_EST_VC03,Unemployment rate; Estimate; AGE - 16 to 19 years
HC04_MOE_VC03,Unemployment rate; Margin of Error; AGE - 16 to 19 years
HC01_EST_VC04,Total; Estimate; AGE - 20 to 24 years
HC01_MOE_VC04,Total; Margin of Error; AGE - 20 to 24 years
HC02_EST_VC04,In labor force; Estimate; AGE - 20 to 24 years
HC02_MOE_VC04,In labor force; Margin of Error; AGE - 20 to 24 years
HC03_EST_VC04,Employed; Estimate; AGE - 20 to 24 years
HC03_MOE_VC04,Employed; Margin of Error; AGE - 20 to 24 years
HC04_EST_VC04,Unemployment rate; Estimate; AGE - 20 to 24 years
HC04_MOE_VC04,Unemployment rate; Margin of Error; AGE - 20 to 24 years
HC01_EST_VC05,Total; Estimate; AGE - 25 to 44 years
HC01_MOE_VC05,Total; Margin of Error; AGE - 25 to 44 years
HC02_EST_VC05,In labor force; Estimate; AGE - 25 to 44 years
HC02_MOE_VC05,In labor force; Margin of Error; AGE - 25 to 44 years
HC03_EST_VC05,Employed; Estimate; AGE - 25 to 44 years
HC03_MOE_VC05,Employed; Margin of Error; AGE - 25 to 44 years
HC04_EST_VC05,Unemployment rate; Estimate; AGE - 25 to 44 years
HC04_MOE_VC05,Unemployment rate; Margin of Error; AGE - 25 to 44 years
HC01_EST_VC06,Total; Estimate; AGE - 45 to 54 years
HC01_MOE_VC06,Total; Margin of Error; AGE - 45 to 54 years
HC02_EST_VC06,In labor force; Estimate; AGE - 45 to 54 years
HC02_MOE_VC06,In labor force; Margin of Error; AGE - 45 to 54 years
HC03_EST_VC06,Employed; Estimate; AGE - 45 to 54 years
HC03_MOE_VC06,Employed; Margin of Error; AGE - 45 to 54 years
HC04_EST_VC06,Unemployment rate; Estimate; AGE - 45 to 54 years
HC04_MOE_VC06,Unemployment rate; Margin of Error; AGE - 45 to 54 years
HC01_EST_VC07,Total; Estimate; AGE - 55 to 64 years
HC01_MOE_VC07,Total; Margin of Error; AGE - 55 to 64 years
HC02_EST_VC07,In labor force; Estimate; AGE - 55 to 64 years
HC02_MOE_VC07,In labor force; Margin of Error; AGE - 55 to 64 years
HC03_EST_VC07,Employed; Estimate; AGE - 55 to 64 years
HC03_MOE_VC07,Employed; Margin of Error; AGE - 55 to 64 years
HC04_EST_VC07,Unemployment rate; Estimate; AGE - 55 to 64 years
HC04_MOE_VC07,Unemployment rate; Margin of Error; AGE - 55 to 64 years
HC01_EST_VC08,Total; Estimate; AGE - 65 to 74 years
